Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,STEPHEN LEE,ARC,48305,ARC DSGN STU:INT II,1,Lect,17,35,49%,26.65,2.94,3.06,3.12,3.12,3.18,3.19,3,2.94,3.12
Spring,2016,DANIEL COLVARD,ARC,48305,ARC DSGN STU:INT II,A,Lect,4,11,36%,27,4.5,3.5,4,4,4.25,3.75,2.75,3.5,3.5
Spring,2016,STEFANI DANES,ARC,48305,ARC DSGN STU:INT II,B,Lect,9,12,75%,26.33,5,5,4.89,4.78,4.78,4.67,4.89,4.89,4.33
Spring,2016,JEFFREY DAVIS,ARC,48305,ARC DSGN STU:INT II,C,Lect,7,12,58%,26,3.43,3.43,3.71,3.43,3.57,3.86,3.29,3.43,3.43
Fall,2016,KAI GUTSCHOW,ARC,48311,HIST OF ARC THEORY,A,Lect,6,9,67%,9,4.67,4.67,4.67,4.83,4.67,4.5,4.83,4.67,4.67
Fall,2016,VIVIAN LOFTNESS,ARC,48315,ENVIR I: CLIM & ENG,A,Lect,29,47,62%,9.21,4.28,4.14,4.17,4.31,4.54,3.96,4.64,3.71,3.54
Fall,2016,IRVING OPPENHEIM,ARC,48324,STRU/STAT,A,Lect,24,47,51%,6.25,4.83,4.79,4.63,4.5,4.63,4.67,4.96,4.58,4.46
Spring,2016,HEATHER WORKINGER,ARC,48332,ARCH EXPL: TCHG LRNG,A3,Lect,4,14,29%,5,5,5,5,4.75,4.75,4.5,5,5,5
Spring,2016,FRANCESCA TORELLO,ARC,48347,IMPPRNT WRTG CREATVS,A,Lect,4,5,80%,6.5,4.5,4,4.25,4.67,5,5,5,4.67,5
Spring,2016,DIANE SHAW,ARC,48348,ARCTL HST MEXCO GUAT,A,Lect,5,6,83%,8,5,5,5,5,4.8,5,5,5,5
Fall,2016,DIANE SHAW,ARC,48348,ARCTL HST MEXCO GUAT,A,Lect,7,9,78%,6.29,5,5,5,4.57,4.83,5,5,5,5
Spring,2016,KAI GUTSCHOW,ARC,48350,POSTWAR MDN ARCH THY,A,Lect,2,4,50%,8,5,4.5,4.5,5,5,5,5,5,5
Spring,2016,CHRISTINE MONDOR,ARC,48351,HMN FACTORS IN ARCH,A,Lect,20,45,44%,6.4,3.6,3.6,3.55,3.2,3.35,3.65,4.25,3.45,3.16
Fall,2016,WILLIAM COOPER,ARC,48355,PERSPECTIVE,A,Lect,4,9,44%,9.5,4,3.5,3.5,3.75,4.25,3.33,5,3.75,3.75
Spring,2016,WILLIAM COOPER,ARC,48356,COLOR DRAWING,A,Lect,5,7,71%,9.2,5,4.4,4.2,4.4,4,4.2,5,5,4.8
Spring,2016,VALENTINA VAVASIS,ARC,48380,REAL ESTATE,A,Lect,24,38,63%,6.04,4.88,4.83,4.88,4.79,4.79,4.79,4.96,4.83,4.79
Spring,2016,JOHN FOLAN,ARC,48381,ISSUES,A,Lect,21,35,60%,6.33,4.25,3.95,4.05,3.45,4.15,4.1,3.3,3.6,3.8
Spring,2016,OMER AKIN,ARC,48383,ETHICS,A,Lect,17,32,53%,6.13,3.41,2.94,3,2.29,3,2.94,3.53,3,2.59
Spring,2016,ERIC BROCKMEYER,ARC,48390,PHYS COMP STUDIO,A,Lect,2,7,29%,11,3,2.5,3,3,3.5,3,4.5,3,3.5
Fall,2016,JOHN FOLAN,ARC,48400,ASOS I,B,Lect,3,3,100%,20.67,4.67,4.67,4.67,4.67,5,5,4.67,5,5
Fall,2016,HAL HAYES,ARC,48400,ASOS I,C,Lect,2,6,33%,24,4.5,4.5,4.5,4.5,4,3.5,4,4,3.5
Fall,2016,JONATHAN KLINE,ARC,48400,ASOS I,D,Lect,1,6,17%,27,4,4,4,5,4,4,4,4,4
Fall,2016,MATTHEW MCNUTT,ARC,48400,ASOS I,E,Lect,5,11,45%,26.4,3.4,3.4,3.4,2.8,3.8,3.8,4.4,3,3.2
Fall,2016,SCOTT SMITH,ARC,48400,ASOS I,F,Lect,2,2,100%,24,5,4.5,5,4.5,5,5,5,4.5,5
Spring,2016,JOSHUA BARD,ARC,48410,ASOS II,A,Lect,2,9,22%,27,4,4.5,4.5,4,4,4,4.5,4,4.5
Spring,2016,CHRISTINA CIARDULLO,ARC,48410,ASOS II,B,Lect,1,3,33%,27,5,5,5,5,5,4,5,5,5
Spring,2016,GERARD DAMIANI,ARC,48410,ASOS II,C,Lect,3,8,38%,27,4.33,4.33,4.33,5,4.67,4.67,4.67,4.67,4.67
Spring,2016,JOHN FOLAN,ARC,48410,ASOS II,D,Lect,6,7,86%,27,4.83,4.67,4.67,4.33,5,4.5,4.33,4.67,4.5
Spring,2016,HAL HAYES,ARC,48410,ASOS II,E,Lect,4,10,40%,22.25,4.75,4.75,4.75,4.5,4.75,4.75,5,4.75,4.75
Spring,2016,PAUL ROSENBLATT,ARC,48422,HLCST CNTR,A,Lect,2,2,100%,6.5,4.5,4,4,4,4.5,4.5,5,5,5
Spring,2016,MAURICIO BERTET,ARC,48427,CONTEMP ARC,A,Lect,1,3,33%,5,5,5,5,5,5,5,4,5,5
Fall,2016,"MATTERN, G. (co-taught)",ARC,48432,ENV II: MCH SYS,A,Lect,13,33,39%,6.91,3.62,2.69,2.85,3.38,3.38,3.54,3.77,3.46,3.08
Fall,2016,"BAIRD, N. (co-taught)",ARC,48432,ENV II: MCH SYS,A,Lect,13,33,39%,6.64,4.08,2.77,3.15,3.62,3.77,3.54,4,3.46,3
Spring,2016,SUSAN ZITTERBART,ARC,48442,ASIAN ARCHITECTURE,A,Lect,3,8,38%,4,5,4.67,5,4.67,5,5,5,5,5
Spring,2016,CHARLES ROSENBLUM,ARC,48448,HISTRY SUSTAIN ARCH,A,Lect,7,16,44%,8.5,3.43,2.71,3,2.43,3.29,3.14,3.71,3.14,3.29
Spring,2016,DANA CUPKOVA,ARC,48468,ECLGTCS: COMP TECH,A,Lect,8,8,100%,9.25,4.63,3.63,3,4.38,4.38,4.38,4.63,4.5,4.5
Fall,2016,SCOTT SMITH,ARC,48473,HND MCHN JNRY NEW DR,A2,Lect,1,3,33%,5,5,4,4,5,4,5,5,4,5
Fall,2016,JOHN FOLAN,ARC,48493,REP ACT UDBS,A,Lect,7,10,70%,10.29,4.86,4.86,4.71,4.57,4.43,4.57,4.57,4.57,4.43
Spring,2016,KAI GUTSCHOW,ARC,48497,THESIS PREP,A,Lect,6,11,55%,4.4,4.5,3.83,4.17,3.67,4.33,4,4.67,4.17,3.83
Fall,2016,JEREMY FICCA,ARC,48500,ASOS III,A,Lect,3,5,60%,27,3.67,3.33,3.67,3.33,4,4,4.67,4,3.33
Fall,2016,JOHN FOLAN,ARC,48500,ASOS III,B,Lect,5,7,71%,26.25,5,5,5,5,5,5,5,5,5
Fall,2016,SCOTT SMITH,ARC,48500,ASOS III,F,Lect,3,5,60%,25,4.67,3.67,4.67,4.33,3.67,4.67,4,4,4.33
Fall,2016,MARY-LOU ARSCOTT,ARC,48509,ARCH ST: THS I/ IP,A,Lect,6,9,67%,23,4.67,3.83,4.33,4.33,4.67,4.17,5,4.67,4.33
Spring,2016,JOSHUA BARD,ARC,48510,ASOS IV,A,Lect,1,2,50%,24,5,4,5,3,5,4,5,4,4
Spring,2016,CHRISTINA CIARDULLO,ARC,48510,ASOS IV,B,Lect,4,8,50%,24.75,4.75,5,4.75,4.25,4.5,4.5,5,4.75,5
Spring,2016,GERARD DAMIANI,ARC,48510,ASOS IV,C,Lect,1,3,33%,21,4,4,4,5,4,4,5,5,4
Spring,2016,"ARSCOTT, M. (co-taught)",ARC,48510,ASOS IV,G,Lect,2,4,50%,20.5,5,4,4,5,5,4.5,5,4.5,4.5
Spring,2016,"CUPKOVA, D. (co-taught)",ARC,48510,ASOS IV,G,Lect,2,4,50%,20.5,5,3.5,4,4.5,5,4.5,4.5,4.5,4.5
