Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,STEPHEN SPEAR,ECO,73469,GLBL ELECTRONIC MKTS,A,Lect,8,17,47%,6.13,4.25,4.5,4.13,4,4.63,4.75,5,4.5,4.38
Fall,2016,KAREN CLAY,ECO,73476,AMER ECONOMIC HSTRY,A,Lect,8,19,42%,8.38,4.5,4.63,4.38,4.5,4.5,4.38,4.75,4.5,4.25
Fall,2016,KARAM KANG,ECO,73497,SENIOR PROJECT,A,Lect,6,28,21%,7,4.5,4.33,4.33,4.17,3.83,3.83,4.83,4.5,4.5
Fall,2016,KATHARINE BURNS,ENG,76100,READ WRITE ACAD CNTX,A,Lect,12,14,86%,5.75,4.75,4.75,4.75,4.83,4.67,4.75,4.75,4.75,4.67
Fall,2016,KATHARINE BURNS,ENG,76100,READ WRITE ACAD CNTX,B,Lect,14,15,93%,5.69,4.79,4.86,4.86,4.86,4.71,4.86,4.93,4.79,4.71
Fall,2016,MARGARET GOSS,ENG,76100,READ WRITE ACAD CNTX,H,Lect,15,15,100%,9.07,4.8,4.73,4.8,4.87,4.67,4.73,4.79,4.8,4.67
Fall,2016,ANDREW GORDON,ENG,76100,READ WRITE ACAD CNTX,J,Lect,6,12,50%,6.2,5,5,5,4.83,5,4.83,5,5,5
Fall,2016,MARIA PIA GOMEZ LAICH,ENG,76100,READ WRITE ACAD CNTX,K,Lect,5,6,83%,8,4.8,4.8,5,5,5,5,5,4.8,4.8
Fall,2016,MARIA PIA GOMEZ LAICH,ENG,76100,READ WRITE ACAD CNTX,L,Lect,6,13,46%,10,4.83,4.67,5,5,4.83,4.83,5,4.67,4.5
Fall,2016,ADAM HODGES,ENG,76100,READ WRITE ACAD CNTX,W,Lect,10,13,77%,14.6,3.6,3.8,3.8,4,3.8,3.7,4.2,3.9,3.8
Fall,2016,ADAM HODGES,ENG,76100,READ WRITE ACAD CNTX,WW,Lect,8,12,67%,9.13,4.5,4.63,4.75,4.38,4.75,4.63,4.63,4.63,4.5
Fall,2016,SUSAN HAGAN,ENG,76100,READ WRITE ACAD CNTX,X,Lect,8,13,62%,8.75,4.25,4.13,4.13,4.25,4.25,4,4.88,4.25,4
Fall,2016,SILVIA PESSOA,ENG,76100,READ WRITE ACAD CNTX,XX,Lect,10,13,77%,11.8,4.8,4.7,4.5,4.9,4.7,4.8,4.5,4.6,4.4
Fall,2016,DUDLEY REYNOLDS,ENG,76100,READ WRITE ACAD CNTX,Y,Lect,9,11,82%,11.11,4.22,4.22,4.44,4,4.22,4.22,4.44,4.33,4
Fall,2016,DUDLEY REYNOLDS,ENG,76100,READ WRITE ACAD CNTX,YY,Lect,10,12,83%,7.67,5,5,4.6,4.9,4.6,4.9,5,4.8,4.7
Fall,2016,THOMAS MITCHELL,ENG,76100,READ WRITE ACAD CNTX,Z,Lect,11,13,85%,10.73,4.27,4.45,4.36,4.45,4.36,4.73,4.82,4.27,4.36
