Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Realistic Constraints,3: ABET: Function on Teams,4: ABET: Ethical responsibility,5: ABET: Effective Communication,"6: ABET: Global, etc. contexts",7: ABET: Life-long learning,8: ABET: Knowledge Contemporary Issues,9: ABET: Use skills,10: Hrs Per Week 9,11: Interest in student learning,12: Explain course requirements,13: Clear learning goals,14: Instructor provides Feedback to students,15: Importance of subject,16: Explains subject matter,17: Show respect for students,18: Overall teaching,19: Overall course,,
Fall,2016,DENNIS TRUMBLE,BMD,42790,PRACTICUM BIOMED ENG,A,Lect,6,12,50%,13.17,4.5,4.33,4.17,4.5,4.5,4.5,4.83,4.5,4.33,,,,,,,,,,,
Summer,2016,YU-LI WANG,BMD,42792,EXTRMURL PRACTICUM,R,Lect,2,5,40%,27,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,JAMES THOMPSON,CEE,12100,INTRO CIV & ENV ENG,A,Lect,71,81,88%,6.56,3.66,3.51,3.66,3.24,3.85,3.76,3.24,3.27,3.13,,,,,,,,,,,
Spring,2016,JAMES KILBURG,CEE,12201,GEOLOGY,A,Lect,17,38,45%,6.06,4.59,4.53,4.47,4.12,4.71,4.41,4.65,4.29,4.12,,,,,,,,,,,
Fall,2016,ALAN JACOBS,CEE,12201,GEOLOGY,A,Lect,34,53,64%,4.65,4.29,4.29,4.29,3.68,4.06,4.21,4.47,4.12,4,,,,,,,,,,,
Spring,2016,SARAH CHRISTIAN,CEE,12216,ST: RESEARCH SKILLS,A,Lect,2,2,100%,2,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,MATTEO POZZI,CEE,12421,ENGINEERNG ECONOMICS,A1,Lect,28,44,64%,11.82,4.11,4.11,4.11,3.82,4.25,4.14,4.54,4,4.04,,,,,,,,,,,
Fall,2016,KRISTEN KURLAND,CEE,12600,AUTOCAD,A2,Lect,36,41,88%,4.06,4.11,4.54,4.46,3.83,4.09,4.51,4.37,4.37,4.26,,,,,,,,,,,
Spring,2016,KRISTEN KURLAND,CEE,12600,AUTOCAD,A4,Lect,36,37,97%,3.29,4.14,4.47,4.42,4.11,4.31,4.5,4.47,4.31,4.31,,,,,,,,,,,
Spring,2016,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,Lect,10,24,42%,8,3.9,3.9,4.1,3.8,4.7,4.3,4.3,4,4.1,,,,,,,,,,,
Fall,2016,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,Lect,6,11,55%,8,4.5,4.5,4.5,4.5,4.67,4.5,4.5,4.5,4.5,,,,,,,,,,,
Spring,2016,THOMAS LEECH,CEE,12620,ST: ENGRNG MECHANICS,A,Lect,10,12,83%,7.4,4.6,4.3,4.4,4.4,4.3,3.9,4.9,3.8,3.8,,,,,,,,,,,
Fall,2016,THOMAS LEECH,CEE,12620,ST: ENGRNG MECHANICS,A,Lect,12,14,86%,8.25,4.92,5,5,4.75,4.92,4.67,5,4.83,4.75,,,,,,,,,,,
Fall,2016,ALAN MCGAUGHEY,CEE,12623,MLCR SIMLN MATERLS,A,Lect,2,4,50%,15.5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,JAMES THOMPSON,CEE,12631,STRUCTURAL DESIGN,A,Lect,6,6,100%,14.17,5,5,4.67,4.33,4.83,4.67,4.33,4.67,4.67,,,,,,,,,,,
Fall,2016,JAMES THOMPSON,CEE,12635,STRUCTURAL ANALYSIS,A,Lect,5,5,100%,12.2,4.6,4.8,4.8,4.8,4.8,4.8,4.6,4.8,4.8,,,,,,,,,,,
Spring,2016,SARAH CHRISTIAN,CEE,12638,ST BEHAV STRUCT SYS,A,Lect,6,7,86%,9,4.83,3.33,3.83,3.5,4.5,4.17,4.83,4.17,4,,,,,,,,,,,
Spring,2016,JARED COHON,CEE,12657,WTR RESOURCE SYS ENG,A,Lect,23,29,79%,9.19,4.48,4.48,4.57,4.3,4.52,4.61,4.65,4.35,4.35,,,,,,,,,,,
Fall,2016,SUSAN FINGER,CEE,12659,SP TOPICS MATLAB,A1,Lect,14,21,67%,9.57,4.93,5,5,4.86,4.86,4.71,4.86,4.93,4.71,,,,,,,,,,,
Fall,2016,SUSAN FINGER,CEE,12659,SP TOPICS MATLAB,A2,Lect,23,38,61%,7,4.74,4.83,4.87,4.78,4.57,4.74,4.87,4.83,4.7,,,,,,,,,,,
Fall,2016,KAUSHIK DAYAL,CEE,12676,ST: CNPTS MTHDS MECH,A,Lect,5,6,83%,9.2,5,5,5,4.8,5,4.8,5,4.8,4.8,,,,,,,,,,,
Spring,2016,DAVID DZOMBAK,CEE,12690,INDEPENDENT STUDY,B,Lect,2,3,67%,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,SHELLEY ANNA,CEE,12701,MTHMTCL TCH ENGNG,A,Lect,3,3,100%,13.33,5,4.67,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,GREGORY LOWRY,CEE,12702,FND WATER QUALTY ENG,A,Lect,15,20,75%,13.21,4.93,4.87,5,4.53,4.93,4.93,4.93,5,4.8,,,,,,,,,,,
Fall,2016,YONGJIE ZHANG,CEE,12703,NUMERCL MTHD ENGING,A,Lect,14,15,93%,14.46,4.64,4.93,4.79,4.86,4.86,4.93,4.93,4.79,4.79,,,,,,,,,,,
Fall,2016,IRVING OPPENHEIM,CEE,12704,PR EST MTHD ENG SYS,A,Lect,42,59,71%,9.98,4.6,4.48,4.52,4.12,4.57,4.5,4.88,4.4,4.4,,,,,,,,,,,
Fall,2016,H SCOTT MATTHEWS,CEE,12706,CIV SYS INV PLN PRCE,A,Lect,38,50,76%,16.58,4.87,4.82,4.76,4.68,4.79,4.79,4.76,4.84,4.89,,,,,,,,,,,
Spring,2016,"LIU, X. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,A,Lect,27,32,84%,9.81,4.22,4.26,4.15,3.96,4.26,4.15,4.7,4.07,3.92,,,,,,,,,,,
Spring,2016,"YEOH, K. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,A,Lect,27,32,84%,9.04,4.44,4.08,4.08,3.96,4.12,4.16,4.64,4.08,3.84,,,,,,,,,,,
Spring,2016,"LIU, X. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,B,Lect,21,29,72%,8.15,4.05,3.81,3.76,3.67,3.86,3.95,4.43,3.86,3.62,,,,,,,,,,,
Spring,2016,"YEOH, K. (co-taught)",CEE,12711,BIM ENG CONS FAC MGM,B,Lect,21,29,72%,8.33,4.1,3.8,3.75,3.8,3.85,3.8,4.5,4.1,3.6,,,,,,,,,,,
Fall,2016,JEANNE VANBRIESEN,CEE,12712,INTRO SUSTNBL ENGRG,A,Lect,31,50,62%,13.67,4.52,4.42,4.35,4.13,4.55,4.26,4.61,4.35,4.03,,,,,,,,,,,
Spring,2016,GWEN DIPIETRO,CEE,12714,ENV LFE CYC ASSMNT,A,Lect,18,23,78%,12.94,4.17,4.06,3.94,4.22,3.94,3.78,4.44,3.83,3.72,,,,,,,,,,,
Spring,2016,ATHANASIOS KARAMALIDIS,CEE,12718,EESS PROJECT,A,Lect,17,23,74%,10.29,4.24,3.94,4.06,4.24,4,4,4.76,3.82,3.88,,,,,,,,,,,
Fall,2016,ATHANASIOS KARAMALIDIS,CEE,12720,WATER RESOURCE CHEM,A,Lect,16,26,62%,9.69,3.94,3.44,3.5,3.56,3.94,3.73,4.69,3.38,3.38,,,,,,,,,,,
Spring,2016,KELVIN GREGORY,CEE,12724,BIOLGL WASTWTR MANGM,A,Lect,14,18,78%,11.21,4,4,4,3.71,4.43,4.07,4.57,4,3.86,,,,,,,,,,,
Spring,2016,PETER ADAMS,CEE,12726,MATH MDL ENV QUA SY,A,Lect,20,25,80%,11.2,4.65,4.63,4.63,4.42,4.65,4.65,4.75,4.75,4.65,,,,,,,,,,,
Spring,2016,RICHARD WICE,CEE,12728,REMEDTN ENG,A,Lect,24,30,80%,8.5,3.96,4.13,4,3.71,4.21,4,4.54,3.92,3.83,,,,,,,,,,,
Spring,2016,GREGORY LOWRY,CEE,12730,SP TPC: ENVNL NANTCH,A,Lect,15,20,75%,10.4,4.27,4.07,4,3.87,4.27,4.07,4.67,3.93,3.93,,,,,,,,,,,
Spring,2016,MATTEO POZZI,CEE,12735,SP TPC URBN SYS MODG,A,Lect,14,16,88%,13.5,4.5,4.5,4.36,4.64,4.5,4.43,4.79,4.5,4.54,,,,,,,,,,,
Fall,2016,MARIO BERGES,CEE,12740,DATA ACQUISITION,A1,Lect,27,42,64%,10.81,4.67,4.67,4.67,4.7,4.52,4.33,4.85,4.56,4.37,,,,,,,,,,,
Fall,2016,MATTEO POZZI,CEE,12741,DATA MANAGEMENT,A2,Lect,46,58,79%,8.47,4.39,4.37,4.3,4.2,4.3,4.41,4.63,4.26,4.33,,,,,,,,,,,
Spring,2016,SUSAN FINGER,CEE,12745,AIS PROJECT,A,Lect,8,14,57%,9.5,4.25,4,4.13,4.25,4.25,4.13,4.5,4.25,4.13,,,,,,,,,,,
Fall,2016,XUESONG LIU,CEE,12746,ST: PYTHON PROTOTYP,A1,Lect,50,85,59%,11.9,4.58,4.38,4.42,4.28,4.45,4.32,4.82,4.29,4.26,,,,,,,,,,,
Fall,2016,KATHARINE FLYNN,CEE,12747,SUSTNBL BLDG,A1,Lect,41,68,60%,7.79,4.29,4.27,4.27,4.37,4.46,4.29,4.52,4.22,4.15,,,,,,,,,,,
Fall,2016,GERRY MATTERN,CEE,12748,MCH EL SY DES,A2,Lect,40,48,83%,6.65,4.88,4.78,4.75,4.75,4.8,4.78,4.95,4.82,4.72,,,,,,,,,,,
Spring,2016,CONSTANTINOS SAMARAS,CEE,12749,ST: CLIM CHGE ADAPT,A4,Lect,32,40,80%,7.63,4.47,4.69,4.44,4.31,4.66,4.56,4.75,4.5,4.41,,,,,,,,,,,
Spring,2016,"COFFELT, D. (co-taught)",CEE,12750,INFRASTRUCTURE MGMT,A,Lect,20,22,91%,9.42,4.25,4.35,4.35,4.15,4.4,4.25,4.65,4.15,4.15,,,,,,,,,,,
Spring,2016,"QIAN, Z. (co-taught)",CEE,12750,INFRASTRUCTURE MGMT,A,Lect,20,22,91%,9.95,4.21,4.32,4.21,4.16,4.26,4.16,4.53,4.21,4.26,,,,,,,,,,,
